6.297230791544797057e+01 3.077970536925727885e+01
6.232567557393263513e+01 3.088613654267762243e+01
6.307504559458977411e+01 3.035005041350207478e+01
6.172398608890331673e+01 2.750089451364038595e+01
6.145688802838167675e+01 3.048748462123417013e+01
6.144509397302864073e+01 2.724789130145211047e+01
6.216661677515270412e+01 3.096326750545603801e+01
6.337697806898573560e+01 2.853106399876947208e+01
6.419803758611453759e+01 3.060409911048881781e+01
6.116099756285727551e+01 2.907575721109388311e+01
